LSU_rRNA_eukarya 1-3401 (+1)	=> 8855-11955 (-1)

snoR9_plant 1-129 (+1)	=> 5212921-5213049 (+1)
Percent identity: 
Cigar string: 129M
ungapped:
snoR9_plant 1-129 (+1)	=> 5212921-5213049 (+1)

snoR71 1-107 (+1)	=> 5252620-5252726 (-1)
Percent identity: 
Cigar string: 107M
ungapped:
snoR71 1-107 (+1)	=> 5252620-5252726 (-1)

snoR71 1-107 (+1)	=> 5361678-5361784 (+1)
Percent identity: 
Cigar string: 107M
ungapped:
snoR71 1-107 (+1)	=> 5361678-5361784 (+1)

snoR71 1-107 (+1)	=> 5482539-5482645 (+1)
Percent identity: 
Cigar string: 107M
ungapped:
snoR71 1-107 (+1)	=> 5482539-5482645 (+1)

snoR71 1-107 (+1)	=> 5488296-5488402 (+1)
Percent identity: 
Cigar string: 107M
ungapped:
snoR71 1-107 (+1)	=> 5488296-5488402 (+1)

snoR71 1-107 (+1)	=> 5567514-5567620 (-1)
Percent identity: 
Cigar string: 107M
ungapped:
snoR71 1-107 (+1)	=> 5567514-5567620 (-1)

MIR854 1-221 (+1)	=> 5575067-5575278 (+1)
Percent identity: 
Cigar string: 163M9I49M
ungapped:
MIR854 1-163 (+1)	=> 5575067-5575229 (+1)
MIR854 164-212 (+1)	=> 5575239-5575287 (+1)

MIR405 1-122 (+1)	=> 5814909-5815030 (+1)
Percent identity: 
Cigar string: 122M
ungapped:
MIR405 1-122 (+1)	=> 5814909-5815030 (+1)

MIR405 1-122 (+1)	=> 5814912-5815038 (-1)
Percent identity: 
Cigar string: 29M2D71M2D16MD6M
ungapped:
MIR405 1-29 (+1)	=> 5815010-5815038 (-1)
MIR405 32-102 (+1)	=> 5814939-5815009 (-1)
MIR405 105-120 (+1)	=> 5814923-5814938 (-1)
MIR405 122-127 (+1)	=> 5814917-5814922 (-1)

snoR71 1-107 (+1)	=> 5987544-5987650 (-1)
Percent identity: 
Cigar string: 107M
ungapped:
snoR71 1-107 (+1)	=> 5987544-5987650 (-1)

MIR854 1-221 (+1)	=> 5992436-5992656 (+1)
Percent identity: 
Cigar string: 221M
ungapped:
MIR854 1-221 (+1)	=> 5992436-5992656 (+1)

5S_rRNA 1-119 (+1)	=> 6415253-6415358 (+1)
Percent identity: 
Cigar string: 66M29I36D14M
ungapped:
5S_rRNA 1-66 (+1)	=> 6415253-6415318 (+1)
5S_rRNA 103-116 (+1)	=> 6415348-6415361 (+1)

MIR405 1-122 (+1)	=> 6714891-6715017 (+1)
Percent identity: 
Cigar string: 29M2D71M2D16MD6M
ungapped:
MIR405 1-29 (+1)	=> 6714891-6714919 (+1)
MIR405 32-102 (+1)	=> 6714920-6714990 (+1)
MIR405 105-120 (+1)	=> 6714991-6715006 (+1)
MIR405 122-127 (+1)	=> 6715007-6715012 (+1)

MIR405 1-122 (+1)	=> 6714899-6715020 (-1)
Percent identity: 
Cigar string: 122M
ungapped:
MIR405 1-122 (+1)	=> 6714899-6715020 (-1)

U6 1-104 (+1)	=> 6777702-6777811 (+1)
Percent identity: 
Cigar string: 6M5D4MI72M2D21M
ungapped:
U6 1-6 (+1)	=> 6777702-6777707 (+1)
U6 12-15 (+1)	=> 6777708-6777711 (+1)
U6 16-87 (+1)	=> 6777713-6777784 (+1)
U6 90-110 (+1)	=> 6777785-6777805 (+1)

MIR405 1-122 (+1)	=> 6861038-6861120 (+1)
Percent identity: 
Cigar string: 42M5I44D36M
ungapped:
MIR405 1-42 (+1)	=> 6861038-6861079 (+1)
MIR405 87-122 (+1)	=> 6861085-6861120 (+1)

snoU49 1-65 (+1)	=> 7520507-7520571 (+1)
Percent identity: 
Cigar string: 65M
ungapped:
snoU49 1-65 (+1)	=> 7520507-7520571 (+1)

snoR2 1-149 (+1)	=> 7520754-7520902 (+1)
Percent identity: 
Cigar string: 26M2D25MI78MI18M
ungapped:
snoR2 1-26 (+1)	=> 7520754-7520779 (+1)
snoR2 29-53 (+1)	=> 7520780-7520804 (+1)
snoR2 54-131 (+1)	=> 7520806-7520883 (+1)
snoR2 132-149 (+1)	=> 7520885-7520902 (+1)

snoR77Y 1-85 (+1)	=> 7520942-7521027 (+1)
Percent identity: 
Cigar string: M2I20M2D20M3D3MID11M2I25M
ungapped:
snoR77Y 1-1 (+1)	=> 7520942-7520942 (+1)
snoR77Y 2-21 (+1)	=> 7520945-7520964 (+1)
snoR77Y 24-43 (+1)	=> 7520965-7520984 (+1)
snoR77Y 47-49 (+1)	=> 7520985-7520987 (+1)
snoR77Y 51-61 (+1)	=> 7520989-7520999 (+1)
snoR77Y 62-86 (+1)	=> 7521002-7521026 (+1)

snoZ7 1-78 (+1)	=> 7520943-7521021 (+1)
Percent identity: 
Cigar string: 47MD31M
ungapped:
snoZ7 1-47 (+1)	=> 7520943-7520989 (+1)
snoZ7 49-79 (+1)	=> 7520990-7521020 (+1)

MIR408 1-136 (+1)	=> 7571142-7571302 (+1)
Percent identity: 
Cigar string: 40M3D38M34I10D26M2I20M
ungapped:
MIR408 1-40 (+1)	=> 7571142-7571181 (+1)
MIR408 44-81 (+1)	=> 7571182-7571219 (+1)
MIR408 92-117 (+1)	=> 7571254-7571279 (+1)
MIR408 118-137 (+1)	=> 7571282-7571301 (+1)

mir-156 1-88 (+1)	=> 8412525-8412609 (-1)
Percent identity: 
Cigar string: 25M3I9MI21MD29M
ungapped:
mir-156 1-25 (+1)	=> 8412585-8412609 (-1)
mir-156 26-34 (+1)	=> 8412573-8412581 (-1)
mir-156 35-55 (+1)	=> 8412551-8412571 (-1)
mir-156 57-85 (+1)	=> 8412522-8412550 (-1)

MIR405 1-122 (+1)	=> 8554863-8554989 (+1)
Percent identity: 
Cigar string: 29M2D71M2D16MD6M
ungapped:
MIR405 1-29 (+1)	=> 8554863-8554891 (+1)
MIR405 32-102 (+1)	=> 8554892-8554962 (+1)
MIR405 105-120 (+1)	=> 8554963-8554978 (+1)
MIR405 122-127 (+1)	=> 8554979-8554984 (+1)

MIR405 1-122 (+1)	=> 8554871-8554992 (-1)
Percent identity: 
Cigar string: 122M
ungapped:
MIR405 1-122 (+1)	=> 8554871-8554992 (-1)

U2 1-193 (+1)	=> 8802088-8802283 (+1)
Percent identity: 
Cigar string: 6MD80MI37M2D54MD15M
ungapped:
U2 1-6 (+1)	=> 8802088-8802093 (+1)
U2 8-87 (+1)	=> 8802094-8802173 (+1)
U2 88-124 (+1)	=> 8802175-8802211 (+1)
U2 127-180 (+1)	=> 8802212-8802265 (+1)
U2 182-196 (+1)	=> 8802266-8802280 (+1)

RNase_MRP 1-266 (+1)	=> 8804516-8804768 (+1)
Percent identity: 
Cigar string: 21M4I7M2I2MI8M2I11M6I3M3I17M2D12MI10MI4MI10M3D16MD14M3I12M2D12MD3M10DI8MD26M8I37M
ungapped:
RNase_MRP 1-21 (+1)	=> 8804516-8804536 (+1)
RNase_MRP 22-28 (+1)	=> 8804541-8804547 (+1)
RNase_MRP 29-30 (+1)	=> 8804550-8804551 (+1)
RNase_MRP 31-38 (+1)	=> 8804553-8804560 (+1)
RNase_MRP 39-49 (+1)	=> 8804563-8804573 (+1)
RNase_MRP 50-52 (+1)	=> 8804580-8804582 (+1)
RNase_MRP 53-69 (+1)	=> 8804586-8804602 (+1)
RNase_MRP 72-83 (+1)	=> 8804603-8804614 (+1)
RNase_MRP 84-93 (+1)	=> 8804616-8804625 (+1)
RNase_MRP 94-97 (+1)	=> 8804627-8804630 (+1)
RNase_MRP 98-107 (+1)	=> 8804632-8804641 (+1)
RNase_MRP 111-126 (+1)	=> 8804642-8804657 (+1)
RNase_MRP 128-141 (+1)	=> 8804658-8804671 (+1)
RNase_MRP 142-153 (+1)	=> 8804675-8804686 (+1)
RNase_MRP 156-167 (+1)	=> 8804687-8804698 (+1)
RNase_MRP 169-171 (+1)	=> 8804699-8804701 (+1)
RNase_MRP 182-189 (+1)	=> 8804703-8804710 (+1)
RNase_MRP 191-216 (+1)	=> 8804711-8804736 (+1)
RNase_MRP 217-253 (+1)	=> 8804745-8804781 (+1)

SNORD34 1-80 (+1)	=> 8931703-8931786 (-1)
Percent identity: 
Cigar string: 17M2I43M2D6M4D12M
ungapped:
SNORD34 1-17 (+1)	=> 8931770-8931786 (-1)
SNORD34 18-60 (+1)	=> 8931725-8931767 (-1)
SNORD34 63-68 (+1)	=> 8931719-8931724 (-1)
SNORD34 73-84 (+1)	=> 8931707-8931718 (-1)

SNORD34 1-80 (+1)	=> 8931844-8931926 (-1)
Percent identity: 
Cigar string: 62M2D5MI2D12M
ungapped:
SNORD34 1-62 (+1)	=> 8931865-8931926 (-1)
SNORD34 65-69 (+1)	=> 8931860-8931864 (-1)
SNORD34 72-83 (+1)	=> 8931847-8931858 (-1)

MIR405 1-122 (+1)	=> 9314985-9315080 (+1)
Percent identity: 
Cigar string: 50MI28D9MD35M
ungapped:
MIR405 1-50 (+1)	=> 9314985-9315034 (+1)
MIR405 79-87 (+1)	=> 9315036-9315044 (+1)
MIR405 89-123 (+1)	=> 9315045-9315079 (+1)

snoR128 1-91 (+1)	=> 9560355-9560446 (+1)
Percent identity: 
Cigar string: 13M2D24M2I25MD27M
ungapped:
snoR128 1-13 (+1)	=> 9560355-9560367 (+1)
snoR128 16-39 (+1)	=> 9560368-9560391 (+1)
snoR128 40-64 (+1)	=> 9560394-9560418 (+1)
snoR128 66-92 (+1)	=> 9560419-9560445 (+1)

snoR128 1-91 (+1)	=> 9560536-9560623 (+1)
Percent identity: 
Cigar string: 37M3I24MD4MI22M
ungapped:
snoR128 1-37 (+1)	=> 9560536-9560572 (+1)
snoR128 38-61 (+1)	=> 9560576-9560599 (+1)
snoR128 63-66 (+1)	=> 9560600-9560603 (+1)
snoR128 67-88 (+1)	=> 9560605-9560626 (+1)

MIR405 1-122 (+1)	=> 9634964-9635086 (+1)
Percent identity: 
Cigar string: 48MD74M
ungapped:
MIR405 1-48 (+1)	=> 9634964-9635011 (+1)
MIR405 50-123 (+1)	=> 9635012-9635085 (+1)

MIR405 1-122 (+1)	=> 9634967-9635094 (-1)
Percent identity: 
Cigar string: 29M2D51MD20M2D16MD6M
ungapped:
MIR405 1-29 (+1)	=> 9635066-9635094 (-1)
MIR405 32-82 (+1)	=> 9635015-9635065 (-1)
MIR405 84-103 (+1)	=> 9634995-9635014 (-1)
MIR405 106-121 (+1)	=> 9634979-9634994 (-1)
MIR405 123-128 (+1)	=> 9634973-9634978 (-1)

MIR405 1-122 (+1)	=> 9854325-9854438 (-1)
Percent identity: 
Cigar string: 13M3D27MD16M5I5M5I17MD11M3I20M
ungapped:
MIR405 1-13 (+1)	=> 9854426-9854438 (-1)
MIR405 17-43 (+1)	=> 9854399-9854425 (-1)
MIR405 45-60 (+1)	=> 9854383-9854398 (-1)
MIR405 61-65 (+1)	=> 9854373-9854377 (-1)
MIR405 66-82 (+1)	=> 9854351-9854367 (-1)
MIR405 84-94 (+1)	=> 9854340-9854350 (-1)
MIR405 95-114 (+1)	=> 9854317-9854336 (-1)

snoR9_plant 1-129 (+1)	=> 10593017-10593142 (-1)
Percent identity: 
Cigar string: 86M3I40M
ungapped:
snoR9_plant 1-86 (+1)	=> 10593057-10593142 (-1)
snoR9_plant 87-126 (+1)	=> 10593014-10593053 (-1)

mir-156 1-88 (+1)	=> 10676471-10676554 (+1)
Percent identity: 
Cigar string: 9MD3MD20MD9MI9MD5M6I16MI9M
ungapped:
mir-156 1-9 (+1)	=> 10676471-10676479 (+1)
mir-156 11-13 (+1)	=> 10676480-10676482 (+1)
mir-156 15-34 (+1)	=> 10676483-10676502 (+1)
mir-156 36-44 (+1)	=> 10676503-10676511 (+1)
mir-156 45-53 (+1)	=> 10676513-10676521 (+1)
mir-156 55-59 (+1)	=> 10676522-10676526 (+1)
mir-156 60-75 (+1)	=> 10676533-10676548 (+1)
mir-156 76-84 (+1)	=> 10676550-10676558 (+1)

mir-156 1-88 (+1)	=> 10676471-10676554 (-1)
Percent identity: 
Cigar string: 32MI8MI17M3I13MD13M
ungapped:
mir-156 1-32 (+1)	=> 10676523-10676554 (-1)
mir-156 33-40 (+1)	=> 10676514-10676521 (-1)
mir-156 41-57 (+1)	=> 10676496-10676512 (-1)
mir-156 58-70 (+1)	=> 10676480-10676492 (-1)
mir-156 72-84 (+1)	=> 10676467-10676479 (-1)

mir-172 1-119 (+1)	=> 11942908-11943023 (+1)
Percent identity: 
Cigar string: 59M3I57M
ungapped:
mir-172 1-59 (+1)	=> 11942908-11942966 (+1)
mir-172 60-116 (+1)	=> 11942970-11943026 (+1)

mir-172 1-119 (+1)	=> 11942908-11943023 (-1)
Percent identity: 
Cigar string: 33M5I20M2D61M
ungapped:
mir-172 1-33 (+1)	=> 11942991-11943023 (-1)
mir-172 34-53 (+1)	=> 11942966-11942985 (-1)
mir-172 56-116 (+1)	=> 11942905-11942965 (-1)

TPP 1-105 (+1)	=> 12669975-12670102 (+1)
Percent identity: 
Cigar string: 24M33D13M11I40MD17M
ungapped:
TPP 1-24 (+1)	=> 12669975-12669998 (+1)
TPP 58-70 (+1)	=> 12669999-12670011 (+1)
TPP 71-110 (+1)	=> 12670023-12670062 (+1)
TPP 112-128 (+1)	=> 12670063-12670079 (+1)

Metazoa_SRP 1-301 (+1)	=> 13271855-13272163 (-1)
Percent identity: 
Cigar string: 30MI4M4I16MI29MD7M2D107M4I2D61M5D9M4D30M
ungapped:
Metazoa_SRP 1-30 (+1)	=> 13272134-13272163 (-1)
Metazoa_SRP 31-34 (+1)	=> 13272129-13272132 (-1)
Metazoa_SRP 35-50 (+1)	=> 13272109-13272124 (-1)
Metazoa_SRP 51-79 (+1)	=> 13272079-13272107 (-1)
Metazoa_SRP 81-87 (+1)	=> 13272072-13272078 (-1)
Metazoa_SRP 90-196 (+1)	=> 13271965-13272071 (-1)
Metazoa_SRP 199-259 (+1)	=> 13271900-13271960 (-1)
Metazoa_SRP 265-273 (+1)	=> 13271891-13271899 (-1)
Metazoa_SRP 278-307 (+1)	=> 13271861-13271890 (-1)

Plant_SRP 1-305 (+1)	=> 13271858-13272163 (-1)
Percent identity: 
Cigar string: 125MI46MD113MD20M
ungapped:
Plant_SRP 1-125 (+1)	=> 13272039-13272163 (-1)
Plant_SRP 126-171 (+1)	=> 13271992-13272037 (-1)
Plant_SRP 173-285 (+1)	=> 13271879-13271991 (-1)
Plant_SRP 287-306 (+1)	=> 13271859-13271878 (-1)

Protozoa_SRP 1-241 (+1)	=> 13271890-13272147 (-1)
Percent identity: 
Cigar string: 15MD25MD10MD8M4D12M3I4D100M2D13MD36M7DM7I2D5M4D6M
ungapped:
Protozoa_SRP 1-15 (+1)	=> 13272133-13272147 (-1)
Protozoa_SRP 17-41 (+1)	=> 13272108-13272132 (-1)
Protozoa_SRP 43-52 (+1)	=> 13272098-13272107 (-1)
Protozoa_SRP 54-61 (+1)	=> 13272090-13272097 (-1)
Protozoa_SRP 66-77 (+1)	=> 13272078-13272089 (-1)
Protozoa_SRP 82-181 (+1)	=> 13271975-13272074 (-1)
Protozoa_SRP 184-196 (+1)	=> 13271962-13271974 (-1)
Protozoa_SRP 198-233 (+1)	=> 13271926-13271961 (-1)
Protozoa_SRP 241-241 (+1)	=> 13271925-13271925 (-1)
Protozoa_SRP 244-248 (+1)	=> 13271913-13271917 (-1)
Protozoa_SRP 253-258 (+1)	=> 13271907-13271912 (-1)

MIR405 1-122 (+1)	=> 13634605-13634726 (+1)
Percent identity: 
Cigar string: 122M
ungapped:
MIR405 1-122 (+1)	=> 13634605-13634726 (+1)

MIR405 1-122 (+1)	=> 13634608-13634734 (-1)
Percent identity: 
Cigar string: 29M2D71M2D16MD6M
ungapped:
MIR405 1-29 (+1)	=> 13634706-13634734 (-1)
MIR405 32-102 (+1)	=> 13634635-13634705 (-1)
MIR405 105-120 (+1)	=> 13634619-13634634 (-1)
MIR405 122-127 (+1)	=> 13634613-13634618 (-1)

mir-399 1-118 (+1)	=> 14442978-14443077 (+1)
Percent identity: 
Cigar string: 20MI16M9I12M2I14M2I9D15MD20M
ungapped:
mir-399 1-20 (+1)	=> 14442978-14442997 (+1)
mir-399 21-36 (+1)	=> 14442999-14443014 (+1)
mir-399 37-48 (+1)	=> 14443024-14443035 (+1)
mir-399 49-62 (+1)	=> 14443038-14443051 (+1)
mir-399 72-86 (+1)	=> 14443054-14443068 (+1)
mir-399 88-107 (+1)	=> 14443069-14443088 (+1)

mir-399 1-118 (+1)	=> 14442978-14443077 (-1)
Percent identity: 
Cigar string: 34M11I15MI17M6I34M
ungapped:
mir-399 1-34 (+1)	=> 14443044-14443077 (-1)
mir-399 35-49 (+1)	=> 14443018-14443032 (-1)
mir-399 50-66 (+1)	=> 14443000-14443016 (-1)
mir-399 67-100 (+1)	=> 14442960-14442993 (-1)

mir-399 1-118 (+1)	=> 14443504-14443612 (-1)
Percent identity: 
Cigar string: 20MI17M8I32MI19MD20M
ungapped:
mir-399 1-20 (+1)	=> 14443593-14443612 (-1)
mir-399 21-37 (+1)	=> 14443575-14443591 (-1)
mir-399 38-69 (+1)	=> 14443535-14443566 (-1)
mir-399 70-88 (+1)	=> 14443515-14443533 (-1)
mir-399 90-109 (+1)	=> 14443495-14443514 (-1)

mir-399 1-118 (+1)	=> 14443504-14443612 (+1)
Percent identity: 
Cigar string: 36M2I22MI7M5I2MIMID40M
ungapped:
mir-399 1-36 (+1)	=> 14443504-14443539 (+1)
mir-399 37-58 (+1)	=> 14443542-14443563 (+1)
mir-399 59-65 (+1)	=> 14443565-14443571 (+1)
mir-399 66-67 (+1)	=> 14443577-14443578 (+1)
mir-399 68-68 (+1)	=> 14443580-14443580 (+1)
mir-399 70-109 (+1)	=> 14443582-14443621 (+1)

mir-399 1-118 (+1)	=> 14444997-14445114 (-1)
Percent identity: 
Cigar string: 20MI17MD44MI17MD18M
ungapped:
mir-399 1-20 (+1)	=> 14445095-14445114 (-1)
mir-399 21-37 (+1)	=> 14445077-14445093 (-1)
mir-399 39-82 (+1)	=> 14445033-14445076 (-1)
mir-399 83-99 (+1)	=> 14445015-14445031 (-1)
mir-399 101-118 (+1)	=> 14444997-14445014 (-1)

mir-399 1-118 (+1)	=> 14444997-14445114 (+1)
Percent identity: 
Cigar string: 60MI17MD40M
ungapped:
mir-399 1-60 (+1)	=> 14444997-14445056 (+1)
mir-399 61-77 (+1)	=> 14445058-14445074 (+1)
mir-399 79-118 (+1)	=> 14445075-14445114 (+1)

snoZ101 1-96 (+1)	=> 14894374-14894460 (-1)
Percent identity: 
Cigar string: 21M2I26M3I20M4I20M
ungapped:
snoZ101 1-21 (+1)	=> 14894440-14894460 (-1)
snoZ101 22-47 (+1)	=> 14894412-14894437 (-1)
snoZ101 48-67 (+1)	=> 14894389-14894408 (-1)
snoZ101 68-87 (+1)	=> 14894365-14894384 (-1)

snoZ101 1-96 (+1)	=> 14894543-14894632 (-1)
Percent identity: 
Cigar string: 32M2I15M2I13M2I30M
ungapped:
snoZ101 1-32 (+1)	=> 14894601-14894632 (-1)
snoZ101 33-47 (+1)	=> 14894584-14894598 (-1)
snoZ101 48-60 (+1)	=> 14894569-14894581 (-1)
snoZ101 61-90 (+1)	=> 14894537-14894566 (-1)

snoR14 1-84 (+1)	=> 14894716-14894797 (-1)
Percent identity: 
Cigar string: 46MI16MI20M
ungapped:
snoR14 1-46 (+1)	=> 14894752-14894797 (-1)
snoR14 47-62 (+1)	=> 14894735-14894750 (-1)
snoR14 63-82 (+1)	=> 14894714-14894733 (-1)

snoU61 1-84 (+1)	=> 14894874-14894957 (-1)
Percent identity: 
Cigar string: 32M2I21M2D29M
ungapped:
snoU61 1-32 (+1)	=> 14894926-14894957 (-1)
snoU61 33-53 (+1)	=> 14894903-14894923 (-1)
snoU61 56-84 (+1)	=> 14894874-14894902 (-1)

snoZ221_snoR21b 1-91 (+1)	=> 15027587-15027669 (-1)
Percent identity: 
Cigar string: 12M2I28M6I43M
ungapped:
snoZ221_snoR21b 1-12 (+1)	=> 15027658-15027669 (-1)
snoZ221_snoR21b 13-40 (+1)	=> 15027628-15027655 (-1)
snoZ221_snoR21b 41-83 (+1)	=> 15027579-15027621 (-1)

SNORD96 1-85 (+1)	=> 15027710-15027806 (-1)
Percent identity: 
Cigar string: 21MD8MD24M10D32M
ungapped:
SNORD96 1-21 (+1)	=> 15027786-15027806 (-1)
SNORD96 23-30 (+1)	=> 15027778-15027785 (-1)
SNORD96 32-55 (+1)	=> 15027754-15027777 (-1)
SNORD96 66-97 (+1)	=> 15027722-15027753 (-1)

snoZ221_snoR21b 1-91 (+1)	=> 15029710-15029791 (-1)
Percent identity: 
Cigar string: 12M2I27M7I43M
ungapped:
snoZ221_snoR21b 1-12 (+1)	=> 15029780-15029791 (-1)
snoZ221_snoR21b 13-39 (+1)	=> 15029751-15029777 (-1)
snoZ221_snoR21b 40-82 (+1)	=> 15029701-15029743 (-1)

SNORD96 1-85 (+1)	=> 15029829-15029913 (-1)
Percent identity: 
Cigar string: 21MD8MD23M2I31M
ungapped:
SNORD96 1-21 (+1)	=> 15029893-15029913 (-1)
SNORD96 23-30 (+1)	=> 15029885-15029892 (-1)
SNORD96 32-54 (+1)	=> 15029862-15029884 (-1)
SNORD96 55-85 (+1)	=> 15029829-15029859 (-1)

snoR27 1-95 (+1)	=> 15890069-15890163 (-1)
Percent identity: 
Cigar string: 18M2I35MD19MD21M
ungapped:
snoR27 1-18 (+1)	=> 15890146-15890163 (-1)
snoR27 19-53 (+1)	=> 15890109-15890143 (-1)
snoR27 55-73 (+1)	=> 15890090-15890108 (-1)
snoR27 75-95 (+1)	=> 15890069-15890089 (-1)

snoR27 1-95 (+1)	=> 15890231-15890327 (-1)
Percent identity: 
Cigar string: 15M2D80M
ungapped:
snoR27 1-15 (+1)	=> 15890313-15890327 (-1)
snoR27 18-97 (+1)	=> 15890233-15890312 (-1)

snoR26 1-94 (+1)	=> 15890380-15890473 (-1)
Percent identity: 
Cigar string: 94M
ungapped:
snoR26 1-94 (+1)	=> 15890380-15890473 (-1)

MIR390 1-123 (+1)	=> 16061957-16062055 (-1)
Percent identity: 
Cigar string: 40M2D15M7I33D35M
ungapped:
MIR390 1-40 (+1)	=> 16062016-16062055 (-1)
MIR390 43-57 (+1)	=> 16062001-16062015 (-1)
MIR390 91-125 (+1)	=> 16061959-16061993 (-1)

MIR390 1-123 (+1)	=> 16061957-16062055 (+1)
Percent identity: 
Cigar string: 40MI15M23I44M
ungapped:
MIR390 1-40 (+1)	=> 16061957-16061996 (+1)
MIR390 41-55 (+1)	=> 16061998-16062012 (+1)
MIR390 56-99 (+1)	=> 16062036-16062079 (+1)

mir-160 1-90 (+1)	=> 16340279-16340363 (+1)
Percent identity: 
Cigar string: 51M5I34M
ungapped:
mir-160 1-51 (+1)	=> 16340279-16340329 (+1)
mir-160 52-85 (+1)	=> 16340335-16340368 (+1)

mir-393 1-129 (+1)	=> 16652101-16652232 (+1)
Percent identity: 
Cigar string: 32M2D5MD92M
ungapped:
mir-393 1-32 (+1)	=> 16652101-16652132 (+1)
mir-393 35-39 (+1)	=> 16652133-16652137 (+1)
mir-393 41-132 (+1)	=> 16652138-16652229 (+1)

mir-393 1-129 (+1)	=> 16652102-16652233 (-1)
Percent identity: 
Cigar string: 26MI10MD14MI3D36M2I2D15MD24M
ungapped:
mir-393 1-26 (+1)	=> 16652208-16652233 (-1)
mir-393 27-36 (+1)	=> 16652197-16652206 (-1)
mir-393 38-51 (+1)	=> 16652183-16652196 (-1)
mir-393 55-90 (+1)	=> 16652146-16652181 (-1)
mir-393 93-107 (+1)	=> 16652129-16652143 (-1)
mir-393 109-132 (+1)	=> 16652105-16652128 (-1)

MIR405 1-122 (+1)	=> 16876990-16877111 (+1)
Percent identity: 
Cigar string: 122M
ungapped:
MIR405 1-122 (+1)	=> 16876990-16877111 (+1)

MIR405 1-122 (+1)	=> 16876993-16877119 (-1)
Percent identity: 
Cigar string: 29M2D71M2D16MD6M
ungapped:
MIR405 1-29 (+1)	=> 16877091-16877119 (-1)
MIR405 32-102 (+1)	=> 16877020-16877090 (-1)
MIR405 105-120 (+1)	=> 16877004-16877019 (-1)
MIR405 122-127 (+1)	=> 16876998-16877003 (-1)

U6 1-104 (+1)	=> 17027391-17027490 (+1)
Percent identity: 
Cigar string: 5MI4MI4MI24M2I41MD21M
ungapped:
U6 1-5 (+1)	=> 17027391-17027395 (+1)
U6 6-9 (+1)	=> 17027397-17027400 (+1)
U6 10-13 (+1)	=> 17027402-17027405 (+1)
U6 14-37 (+1)	=> 17027407-17027430 (+1)
U6 38-78 (+1)	=> 17027433-17027473 (+1)
U6 80-100 (+1)	=> 17027474-17027494 (+1)

MIR159 1-196 (+1)	=> 17029699-17029899 (-1)
Percent identity: 
Cigar string: 45MI3MD101M5D46M
ungapped:
MIR159 1-45 (+1)	=> 17029855-17029899 (-1)
MIR159 46-48 (+1)	=> 17029851-17029853 (-1)
MIR159 50-150 (+1)	=> 17029750-17029850 (-1)
MIR159 156-201 (+1)	=> 17029704-17029749 (-1)

MIR159 1-196 (+1)	=> 17029701-17029901 (+1)
Percent identity: 
Cigar string: 42M4D4MD150M
ungapped:
MIR159 1-42 (+1)	=> 17029701-17029742 (+1)
MIR159 47-50 (+1)	=> 17029743-17029746 (+1)
MIR159 52-201 (+1)	=> 17029747-17029896 (+1)

Metazoa_SRP 1-301 (+1)	=> 17224510-17224817 (+1)
Percent identity: 
Cigar string: 30MI4M4I8M3I24MD11M2D7MD3M5I7D28MD46MI24M4I2D49M6D6I6M7D9M3D25M3I2M
ungapped:
Metazoa_SRP 1-30 (+1)	=> 17224510-17224539 (+1)
Metazoa_SRP 31-34 (+1)	=> 17224541-17224544 (+1)
Metazoa_SRP 35-42 (+1)	=> 17224549-17224556 (+1)
Metazoa_SRP 43-66 (+1)	=> 17224560-17224583 (+1)
Metazoa_SRP 68-78 (+1)	=> 17224584-17224594 (+1)
Metazoa_SRP 81-87 (+1)	=> 17224595-17224601 (+1)
Metazoa_SRP 89-91 (+1)	=> 17224602-17224604 (+1)
Metazoa_SRP 99-126 (+1)	=> 17224610-17224637 (+1)
Metazoa_SRP 128-173 (+1)	=> 17224638-17224683 (+1)
Metazoa_SRP 174-197 (+1)	=> 17224685-17224708 (+1)
Metazoa_SRP 200-248 (+1)	=> 17224713-17224761 (+1)
Metazoa_SRP 255-260 (+1)	=> 17224768-17224773 (+1)
Metazoa_SRP 268-276 (+1)	=> 17224774-17224782 (+1)
Metazoa_SRP 280-304 (+1)	=> 17224783-17224807 (+1)
Metazoa_SRP 305-306 (+1)	=> 17224811-17224812 (+1)

Plant_SRP 1-305 (+1)	=> 17224510-17224815 (+1)
Percent identity: 
Cigar string: 67MD238M
ungapped:
Plant_SRP 1-67 (+1)	=> 17224510-17224576 (+1)
Plant_SRP 69-306 (+1)	=> 17224577-17224814 (+1)

Protozoa_SRP 1-241 (+1)	=> 17224526-17224784 (+1)
Percent identity: 
Cigar string: 11MD12MD35M5D3I12M5D28MD40MI31M2D13MD36M6D10M3I3D6M
ungapped:
Protozoa_SRP 1-11 (+1)	=> 17224526-17224536 (+1)
Protozoa_SRP 13-24 (+1)	=> 17224537-17224548 (+1)
Protozoa_SRP 26-60 (+1)	=> 17224549-17224583 (+1)
Protozoa_SRP 66-77 (+1)	=> 17224587-17224598 (+1)
Protozoa_SRP 83-110 (+1)	=> 17224599-17224626 (+1)
Protozoa_SRP 112-151 (+1)	=> 17224627-17224666 (+1)
Protozoa_SRP 152-182 (+1)	=> 17224668-17224698 (+1)
Protozoa_SRP 185-197 (+1)	=> 17224699-17224711 (+1)
